2005,370 512 km,3 123 cm3,Benzyna,11 700 PLN
2018,5 km,1 968 cm3,Diesel,214 500 PLN
2018,5 km,1 968 cm3,Diesel,237 500 PLN
2001,452 000 km,1 800 cm3,Benzyna,13 000 PLN
2010,203 000 km,3 000 cm3,Diesel,44 900 PLN
2002,290 000 km,2 400 cm3,Benzyna,7 900 PLN
2004,265 000 km,2 500 cm3,Diesel,10 800 PLN
1999,260 123 km,4 200 cm3,Benzyna,18 900 PLN
2018,1 km,2 997 cm3,Diesel,295 000 PLN
2012,200 000 km,2 967 cm3,Diesel,79 900 PLN
2015,73 390 km,2 000 cm3,Diesel,124 900 PLN
2006,373 400 km,2 000 cm3,Diesel,17 500 PLN
2011,160 000 km,2 000 cm3,Diesel,66 900 PLN
2012,197 000 km,2 967 cm3,Diesel,45 000 PLN
2017,27 654 km,1 968 cm3,Diesel,164 900 PLN
2006,221 000 km,2 400 cm3,Benzyna,29 900 PLN
2004,215 000 km,3 200 cm3,Benzyna,19 900 PLN
2007,281 000 km,2 000 cm3,Diesel,25 800 PLN
2010,154 352 km,2 995 cm3,Benzyna,55 900 PLN
2010,148 000 km,1 968 cm3,Diesel,37 999 PLN
2016,142 615 km,2 967 cm3,Diesel,169 999 PLN
2016,81 800 km,1 968 cm3,Diesel,148 707 PLN
2012,135 200 km,1 968 cm3,Diesel,69 900 PLN
2002,260 000 km,2 400 cm3,Benzyna+LPG,12 999 PLN
2016,43 000 km,1 968 cm3,Diesel,99 900 PLN
2006,282 000 km,2 000 cm3,Benzyna,25 900 PLN
2003,304 600 km,1 984 cm3,Benzyna+LPG,15 900 PLN
2012,198 948 km,1 968 cm3,Diesel,66 000 PLN
2010,198 000 km,1 968 cm3,Diesel,36 400 PLN
2005,157 000 km,4 200 cm3,Benzyna,41 700 PLN
2019,1 km,2 000 cm3,Benzyna,301 900 PLN
2019,1 km,2 000 cm3,Diesel,228 239 PLN
2019,1 km,2 000 cm3,Benzyna,289 378 PLN
2012,202 114 km,2 967 cm3,Diesel,57 500 PLN
2001,250 000 km,2 398 cm3,Benzyna+LPG,8 500 PLN
2015,168 000 km,1 968 cm3,Diesel,108 800 PLN
2009,130 000 km,2 993 cm3,Diesel,35 000 PLN
2005,278 000 km,1 968 cm3,Diesel,22 900 PLN
2013,77 100 km,1 968 cm3,Diesel,84 900 PLN
2014,64 000 km,1 984 cm3,Hybryda,82 999 PLN
2016,158 700 km,3 000 cm3,Diesel,167 000 PLN
2014,195 000 km,2 000 cm3,Diesel,69 800 PLN
2013,198 000 km,3 000 cm3,Diesel,44 000 PLN
2015,177 700 km,3 000 cm3,Diesel,122 500 PLN
2005,435 000 km,3 000 cm3,Diesel,23 000 PLN
2000,265 000 km,4 200 cm3,Benzyna,16 000 PLN
2007,253 000 km,2 698 cm3,Diesel,27 500 PLN
2015,85 000 km,1 968 cm3,Diesel,139 900 PLN
2015,124 700 km,3 000 cm3,Diesel,176 899 PLN
2002,197 600 km,2 500 cm3,Diesel,3 700 PLN
2009,264 000 km,2 967 cm3,Diesel,21 800 PLN
2019,5 km,1 968 cm3,Diesel,278 447 PLN
2011,278 000 km,2 000 cm3,Diesel,38 800 PLN
2015,170 000 km,3 000 cm3,Diesel,137 900 PLN
2018,4 000 km,2 967 cm3,Diesel,344 000 PLN
2007,245 100 km,3 000 cm3,Diesel,32 900 PLN
2011,108 658 km,2 000 cm3,Diesel,104 500 PLN
2016,74 681 km,1 998 cm3,Diesel,149 900 PLN
2015,165 800 km,2 000 cm3,Diesel,67 900 PLN
2011,105 000 km,2 967 cm3,Diesel,74 990 PLN
2015,137 000 km,1 968 cm3,Diesel,108 800 PLN
2005,260 000 km,2 999 cm3,Diesel,13 500 PLN
2016,86 543 km,2 998 cm3,Diesel,199 900 PLN
2015,158 700 km,3 000 cm3,Diesel,134 900 PLN
2005,262 000 km,2 400 cm3,Benzyna,23 900 PLN
2015,77 000 km,3 000 cm3,Diesel,164 900 PLN
2017,86 700 km,1 968 cm3,Diesel,125 000 PLN
2005,303 000 km,2 967 cm3,Diesel,26 500 PLN
2016,140 200 km,3 000 cm3,Diesel,164 800 PLN
2005,148 400 km,2 400 cm3,Benzyna,24 900 PLN
1999,289 319 km,2 700 cm3,Benzyna+LPG,9 350 PLN
2015,135 487 km,1 968 cm3,Diesel,97 900 PLN
2011,219 000 km,1 968 cm3,Diesel,41 400 PLN
2004,230 713 km,2 400 cm3,Benzyna,20 800 PLN
2014,55 000 km,1 968 cm3,Diesel,99 900 PLN
2015,143 000 km,2 000 cm3,Diesel,109 900 PLN
2018,16 700 km,3 000 cm3,Benzyna,349 899 PLN
2016,85 315 km,2 000 cm3,Benzyna,159 900 PLN
2018,27 500 km,3 000 cm3,Diesel,329 899 PLN
2013,199 500 km,1 998 cm3,Diesel,71 800 PLN
2015,90 000 km,2 967 cm3,Diesel,194 900 PLN
2017,36 000 km,1 968 cm3,Diesel,132 900 PLN
